db9c,f0,fe7c,3de,feaf,ffdd,53
db15,106,fe72,3d8,fe7c,ffc0,65
dc2a,f8,fe60,3d2,fe6e,ffb2,22
d966,106,fe80,3e0,fea2,ffb6,25
da7c,f0,fe86,3d8,ff05,ffd5,2b
dc61,106,fe70,3ce,ff5d,fff9,28
deb8,10e,fe60,3c6,ff94,22,20
e0ef,10e,fe5e,3d0,ffa2,3c,32
e1a9,10e,fe82,3de,ffa8,40,56
e204,fe,fe86,3dc,ff99,d,28
e40a,fe,fe70,3dc,ff9b,19,84
e4ea,118,fe4e,3cc,ffb2,a,92
e6b6,118,fe62,3ce,ff7e,fffa,84
e7e5,106,fe70,3d8,ff55,e,75
ebda,118,fe70,3dc,ff23,f,6b
ef81,112,fe5c,3d8,fef5,2d,70
f470,110,fe70,3d2,feea,3c,ffd5
fb98,108,fe50,3cc,fefc,48,ffc6
18b,f8,fe62,3c2,ff41,67,b
847,10e,fe66,3bc,ffa5,95,ffeb
e0e,f2,fe6e,3c8,fff5,b3,ffd6
1548,10e,fe60,3e8,18,b4,ffde
19d4,fe,fe6e,3d8,14,a4,ffee
2012,11e,fe5e,3c0,fff1,8b,ffe7
242f,10c,fe5e,3b8,fe7a,ffd6,d
2944,10c,fe58,3c2,fe8a,ffca,1c
2c96,fe,fe5c,3ce,fec7,ffdb,ffc7
2f5a,10e,fe6e,3cc,feff,fff1,ffc1
3036,10c,fe6c,3c6,fefd,ffe1,ff9b
3372,f6,fe70,3ce,ff29,ffdf,ff99
3547,fe,fe62,3cc,ff6f,ffdf,ff9d
37a5,10c,fe52,3ce,ffd2,fff2,ffac
39d7,118,fe58,3cc,252,27d,16d
3874,10e,fe5c,3c6,ff3a,1ac,db
363d,f8,fe6a,3bc,fc37,ce,be
3741,fe,fe70,3cc,f9c1,fffe,e9
36ba,10e,fe60,3ce,f868,ff7f,117
370e,11e,fe56,3cc,f86e,ff37,147
3836,11e,fe58,3c0,825,fef4,17a
3869,112,fe66,3c2,556,fece,1a8
3928,fe,fe62,3ce,ff49,ff02,a
37e0,10e,fe6e,3d2,1cc,ffb1,6
35bf,fe,fe62,3d2,328,cb,5b
34f6,11e,fe4e,3b8,352,1d0,8
3392,10e,fe4e,3be,25d,254,ffdc
3065,f2,fe70,3c2,9f,24c,ffd5
2eda,106,fe6c,3c8,f9c0,1c3,ffe1
3089,110,fe18,3ae,fc3f,e1,fffd
3dd7,13e,fdc6,3ce,fd08,fff4,a9
580a,11e,fe46,408,fd49,ff48,ba
7824,e6,feec,3fe,fe2d,fef8,ffff
7fff,d6,ff48,3dc,ff5c,ff03,9
7fff,e6,ff18,3be,5e,ff59,19
7fff,f0,fece,3ce,b0,ffd4,30
7fff,ee,fe4e,3e0,fece,52,50
7fff,11e,fde0,3c2,fd82,96,79
7fff,132,fdfe,3ce,8a,d6,fff9
7fff,f6,fe70,3ee,ffa4,5c,72
7fff,de,feb0,3f2,ffb7,ff87,fffd
7fff,dc,feb0,3e6,24f,ffa9,ffc9
7fff,f2,fe7e,3ce,660,10b,ff22
7fff,110,fe4e,3c0,99e,260,fe50
7fff,110,fe4e,3c0,aec,324,fe53
7fe2,ee,fe78,3ec,a37,317,ff31
763d,106,fe82,3dc,37b,196,fd7b
674e,fe,fe60,3e0,39a,122,fd6e
59b5,ec,fe86,3d8,426,11b,fe6f
4e7a,ee,fe66,3ce,508,183,fdc9
4620,f2,fe4e,3c8,615,218,fd5c
3c89,f8,fe58,3c6,6d1,288,fd32
33ab,106,fe5c,3c6,6d0,298,fd3b
2c4b,e2,fe86,3d0,5fa,231,fd61
241c,f8,fe70,3de,3fe,16d,f95f
1bf6,f0,fe66,3d8,ff5d,7e,f895
1356,f8,fe4e,3cc,f9b7,ff0a,fd42
c00,106,fe3c,3b2,f78a,fd0c,fcb9
12b,10c,fe3c,3a6,f714,fcc3,fba3
f638,110,fe7e,3c6,f762,fd2d,fac3
ea94,e0,feb0,410,f8a1,fd90,fa6a
e036,d8,feb0,418,fa71,fe10,f9fc
d665,b8,fe78,41c,71d,263,ffc7
cab2,ce,fe62,3e0,846,32e,ff7d
be7e,de,fe72,3c0,812,38c,ff93
b047,e0,fea6,3c8,69b,331,19
a321,c6,fece,3fe,4bf,25f,85
9552,ce,fe9e,426,30d,175,78
89d3,e2,fe58,40e,1f8,ba,3c
8036,118,fe4c,3e6,1ac,5e,1
8000,116,fe8e,3ec,2ae,9b,ff5e
8000,10e,fece,440,38e,139,ff0b
8000,d8,fec2,452,43d,1b5,ff40
8000,e0,fe9c,420,4f9,206,fef4
8000,130,fe70,3d6,576,256,feb1
8000,13e,fe38,3bc,55e,2a7,febd
8000,152,fe06,3b0,4c6,2a9,ff0d
8000,150,fe0e,3be,3f7,234,ff58
8000,146,fe38,3d0,f991,fb6a,f88f
8000,130,fe58,3dc,f8d3,fbee,f838
8000,160,fe3c,3a2,f709,fc21,f887
8000,160,fe1c,38e,f45c,fc1d,f883
8000,17c,fdf6,386,f1ca,fbed,f858
8000,186,fe0e,378,f0bf,fb6e,f82a
8000,180,fe30,370,f73e,fa8c,f832
8000,1a2,fe58,33e,f900,f9b3,f871
8000,1ac,fe60,348,f4f2,ca0,ebc6
8000,1b0,fe60,370,f44b,cbe,ed2c
8000,1b8,fe7c,38e,f361,cbd,e8bf
8000,1a2,fea6,38e,f259,c73,e902
8000,19e,fecc,380,f190,c04,e932
8000,18c,feb0,3ac,f17a,b98,e958
8000,166,fea2,3ee,f241,b23,e9ad
8000,15c,feb6,422,f3c7,a83,ea89
8000,128,fede,450,f589,981,f55b
8000,116,fed6,44c,f6c2,810,f5ed
8000,11e,fee6,440,f740,672,ee9e
8000,126,fefc,47e,f715,4b9,eff5
8000,10c,fee0,466,f649,33b,f121
8000,ee,fe60,44e,f4ff,207,f216
8000,148,fe02,3ec,f31a,9e,f32a
8000,158,fdae,390,f0c4,fecc,f470
8000,158,fd86,38c,ed6d,fca9,f83e
8000,158,fd9e,386,ece4,fac1,f85c
8000,13e,fdec,36c,ed0c,f9b7,f6b4
8000,188,fe3c,346,ee69,f8f8,f74c
8000,1ac,fe0c,31e,f14f,f86a,f784
8000,19e,fd6e,2e6,f499,f86d,f7e9
8000,1f2,fd18,2b0,ef03,f91d,f849
