3ef,106,336,2de,ff9c,3d,e
470,ec,346,2fc,ffa0,47,f
344,fe,340,2f2,ffa9,40,2c
11f,10e,33e,2f6,ffaf,3a,32
196,f8,33e,2e8,ffad,35,2f
f4,fe,33c,2e8,ffa4,31,1d
109,fe,33c,2ee,ff79,29,1a
2d7,fc,33e,2ec,ff8d,26,10
226,fc,338,2ec,ff9d,2d,ffe1
3a4,f2,33c,2ee,ff94,3a,ffc7
39d,fe,33e,2f2,ff92,34,fff6
2e4,ee,33e,2ec,ff90,30,3
45c,106,33e,2f0,ff83,31,f
465,106,338,2e2,ff6d,29,b
46c,fe,33e,2e2,ff4e,24,fffa
6bb,f8,338,2ec,ff2c,28,fff0
5d4,10c,338,2f8,ff8d,57,d
4d7,f8,342,2f8,ffaa,4c,b
288,ec,338,2f8,ffda,44,fffe
1d9,f6,33e,2ee,9,41,1
2f2,ee,33e,2ee,27,3b,ffff
34a,ec,33e,2ee,2b,37,8
327,f8,340,2f0,14,3a,12
47c,106,33e,2ee,fff0,34,10
396,f8,33e,2f0,ffd1,33,c
342,f0,33e,2e6,ffa5,3d,ffe2
40a,e8,33e,2f8,ff89,41,a
418,f6,342,2f0,ff94,46,ffde
58a,e6,33e,2f0,ffdc,44,ffc8
41e,ec,338,2e8,3d,41,ffdd
48a,f0,33c,2e6,51,37,11
3d2,f2,33e,2e6,f,2d,2a
333,f8,346,2ec,bc,28,ffb3
2ee,f8,34e,2ee,ffc3,1c,ffe6
1fc,f0,33e,2ee,ffdb,1d,ffbd
1ea,f0,338,2ec,2e,1f,ffc9
18e,e6,338,2f6,62,15,ffee
221,f6,33e,2e8,54,8,fff6
1c8,f8,346,2ec,49,fff4,ffe0
255,fe,34e,2f0,7b,ffe9,ffbd
13e,f0,340,2ec,4,44,4
c6,ee,338,2e0,9,4c,0
27f,f0,33e,2ee,3,49,1
25a,e6,346,2f0,fffb,47,2
25e,f0,33e,2e0,ffe4,4c,6
e3,f8,33e,2e0,ffbe,52,e
f1,f0,346,2e6,ff99,58,f
cd,f0,33e,2e2,ff87,5d,d
ffbb,e6,33e,2f8,2e,51,ffe7
feb8,f0,352,2f0,58,4a,ffe7
fbc4,e0,34e,2f0,7f,44,ffac
f969,fc,340,2e0,8d,42,ffa9
f9c6,ec,33e,2e2,76,41,ffad
f830,f2,33e,2e6,3a,47,ffc5
f6d6,e2,34e,2fc,ffdf,4a,ffe8
f8e9,ee,346,2e6,2,5c,fff0
f8db,e6,33e,2e2,ffa1,70,8
f9ab,f8,346,2e0,ffac,75,18
f95c,ec,34e,2f0,ffe4,77,ffe9
f984,e8,346,2e6,38,76,ffdc
fac4,f0,342,2e4,7b,6e,ffcc
f9bd,ee,33e,2d8,97,6a,ffd1
fbab,e0,34c,2e6,fff0,6d,ffdf
fa70,fe,34e,2e2,ffb9,6f,fff5
fa43,f2,356,2e6,54,59,ffd4
fb28,ec,342,2d8,38,6f,ffe3
fc49,e0,33e,2e2,8,71,4
fbc8,e6,346,2e0,ffc9,6e,a
fc4d,e6,358,2ee,ff9d,70,17
fd35,ee,34e,2e0,ff98,67,17
fea8,ec,342,2de,4f,61,fffb
fff2,e2,340,2dc,59,5f,ffd8
59,e6,346,2dc,4b,52,ffb3
9f,e6,350,2d8,6f,4a,ffaa
15b,e6,358,2f0,76,51,fff1
19c,e0,34e,2e0,50,55,fff7
240,e0,342,2e6,6,52,0
1ed,e0,33c,2d8,ffd9,4c,14
342,ec,346,2e0,ffcc,4a,3
156,ee,358,2e0,14,51,ffd7
138,e0,35c,2ee,ff7a,4a,7
ffae,de,348,2e6,ff64,42,ffe2
fe97,f2,33e,2d0,ff6d,39,9
fc6c,e2,346,2c6,ffa5,39,ffff
fc77,e6,358,2e0,ffe4,38,fffa
fd89,ee,350,2de,10,34,2
fd53,ee,352,2e0,1c,2e,11
fcb1,e6,346,2dc,3,2d,15
fbf7,fc,342,2e0,ffb6,3a,8
fda8,f8,342,2d2,ff93,47,6
fdc4,e8,350,2d8,ff79,53,11
fde9,f8,352,2dc,ff72,46,c
fcf4,f2,358,2d6,ff9a,36,e
fd5a,f2,34e,2d8,ffbc,32,d
fc40,e6,340,2e2,ffbf,2d,7
fb0d,e2,34c,2e0,ffbf,27,5
fca0,ec,34e,2e0,ffc0,26,9
fba6,f8,34c,2de,ffb0,38,9
fd70,f8,346,2e0,ffaa,44,3
fcbb,d8,352,2ec,ffa5,45,b
fc28,e2,346,2e2,ff99,47,1d
fe35,f2,33e,2d8,ff88,48,22
fdcf,e2,346,2d8,ff76,4a,18
fe1b,ec,34c,2de,ff6e,4a,f
fef6,ec,34e,2de,ff73,43,28
fe81,e2,34e,2e6,ff7f,3b,1d
ff89,ec,346,2e0,ff90,38,4
ff7c,e2,33e,2e2,ff98,38,c
27,ee,34c,2de,ffa6,3a,15
7d,e2,356,2e2,ffbb,3d,17
ff70,e0,350,2de,ffbb,43,23
ff2d,e0,346,2d6,ff9e,4a,2a
ffee,e0,340,2d8,ff87,69,36
fdcb,ee,342,2e6,ff8b,61,29
fd4c,f8,34c,2e0,ff7e,5e,8e
fbb6,e2,358,2ee,ff78,5e,80
fb44,f0,350,2e0,ff6d,57,71
fd25,ee,346,2dc,ff6f,53,69
fc6f,ec,33e,2d8,ff77,51,50
fb98,e0,34e,2ec,ff84,48,3c
fc6f,de,350,2de,ffa9,42,ff9e
fb1f,de,34c,2e6,ffa5,3f,ffa0
fbb3,ee,34c,2e0,ffa2,29,15
fbca,f0,34e,2de,ffaa,9,8
fb9d,102,346,2e0,ffb7,ffee,ffec
fc75,f2,34e,2e0,ffbd,ffde,ffbe
fae2,f8,350,2dc,ff9a,ffcf,ffa5
fc4a,f8,34e,2de,ffad,ffcd,ffa3
fcae,f0,34e,2dc,ff7a,ffd1,ffdb
fc71,ec,34c,2e0,ff6b,ffd2,fffd
fccf,e6,352,2d6,ff69,ffe0,ffa0
fc98,e0,34e,2e2,ff81,ffe9,ff9d
fca6,e6,352,2dc,ffb0,ffe3,ff9b
fd04,e6,346,2e6,ffdc,ffe3,ff9a
fd7e,e6,33e,2e6,ffb7,ffea,ff9c
fef7,e8,338,2e6,ff96,fff4,ffb6
71,f8,338,2e6,ffd5,5,3a
ca,f0,34c,2e8,ffac,f,45
168,ec,34c,2e0,ff82,1f,18
1c0,e6,346,2e2,ff65,32,1c
16d,e6,342,2e2,ff65,42,26
314,e6,342,2ec,ff69,53,2b
28b,f0,34c,2e6,fff1,61,2d
27c,e6,342,2e0,ffed,69,30
35a,e8,34e,2d0,ff74,36,ffeb
1cf,f0,34e,2e0,ff78,2a,ffe2
ff32,e0,34e,2ec,ff8f,23,2d
fe65,dc,34c,2f0,ffb7,1b,9
fde0,f0,338,2e0,ffc7,1d,2
ff56,f0,342,2de,ffc0,18,1a
fe96,e0,34e,2e6,ffa4,14,a
