2a5,5c,4e,460,ffcd,2f,fffa
2c9,58,4e,460,ffcf,21,fff6
230,5e,50,466,ffcd,29,fffa
244,58,4e,462,ffca,32,fff6
2cb,4e,52,460,ffcc,34,fffa
2a3,5c,58,460,ffcf,31,fff7
25d,38,5c,486,ffcd,31,fff5
314,5e,5c,482,ffcb,33,fffc
240,60,4e,460,ffd1,31,fff4
336,52,50,43e,ffd1,29,fff3
2d6,60,4e,452,ffc8,2e,fff8
30a,60,5c,466,ffc6,30,fff2
41e,58,52,466,ffc6,30,fff3
2a7,46,58,462,ffc7,35,fff9
3bc,52,50,458,ffc9,31,fff6
3c0,52,52,460,ffc8,30,fffa
317,60,58,46e,ffc6,34,fffa
2b3,4e,4e,46c,ffc8,36,fffe
309,42,5c,466,ffc9,35,fff5
2c6,60,58,466,ffcd,35,fff6
2c2,3e,56,46c,ffce,32,fff8
2d2,4e,58,458,ffce,2c,fffa
2ab,5e,52,466,ffd1,30,fff7
266,62,56,45e,ffcf,33,fff5
ff,62,50,466,ffcb,37,fffb
371,50,4e,466,ffc8,38,ffff
2e6,58,4e,45c,ffcc,38,fff8
3b7,5e,4e,466,ffd1,33,fff9
3a6,3e,58,46c,ffcb,2f,fff7
387,4e,52,45c,ffcb,2d,fff8
44c,50,50,462,ffca,2e,fffa
2f9,5e,58,460,ffcc,34,fff6
341,50,52,460,ffcf,33,fff9
3dc,52,56,460,ffc6,38,fff5
250,4e,56,458,ffc6,34,fff7
2dc,46,50,458,ffc7,33,fffd
22b,58,50,45e,ffc9,33,ffff
1ea,60,50,466,ffd2,37,fffa
267,5e,58,460,ffd2,34,fffa
236,46,58,46e,ffd0,38,fff9
16e,4e,52,456,ffce,3b,fff8
29e,5e,4e,460,ffca,2d,fff9
22e,60,4e,460,ffcc,30,fff6
7a,58,4e,460,ffc9,34,fffc
2f2,46,58,466,ffcd,30,fffb
2e2,60,56,46c,ffcc,35,fff7
331,5e,56,460,ffd1,37,fff5
2c0,62,46,45c,ffd3,34,fff8
266,60,46,460,ffc9,34,fff5
3b8,60,52,45e,ffcb,40,fff6
270,4e,52,460,ffcc,3d,fff9
34f,4c,58,466,ffc8,37,fffd
3c2,4e,4e,468,ffc8,36,fff8
2c1,58,58,45c,ffc5,36,fffa
1f4,60,58,466,ffc6,38,fffd
241,60,46,45c,ffc8,35,fffb
1a2,52,52,460,ffcc,31,fff5
28c,4c,58,460,ffca,2c,fff5
295,4c,4c,466,ffcb,2e,fffc
28b,58,52,45e,ffcd,34,fffd
192,5e,58,46e,ffca,3b,fffb
297,4e,50,46e,ffca,37,fff9
3b1,4e,52,458,ffc7,36,fffa
378,5c,58,45c,ffce,34,fffa
35b,60,52,45e,ffc6,2c,fff4
202,52,38,46c,ffc8,43,fff6
1f6,60,52,462,ffcc,31,fff7
2e1,60,3e,462,ffc5,34,fff2
108,5e,56,45e,ffc7,28,fffa
2a4,52,54,458,ffc6,32,fff9
2be,3e,56,46e,ffc8,3b,fff7
38b,5e,56,462,ffcb,29,fff7
1ed,46,50,462,ffd3,2c,fff7
1d6,60,58,466,ffcd,36,fffb
395,58,50,45e,ffcc,30,fff7
2bb,52,58,45e,ffce,37,fff5
38b,40,52,466,ffcb,3f,fff5
254,60,58,462,ffcd,38,fff6
327,5e,4e,462,ffcd,34,fff2
2b1,52,50,46c,ffcc,34,fff5
26f,5c,50,458,ffc8,31,fffa
290,5e,58,470,ffc9,3d,fffb
23c,46,5c,462,ffd1,3a,fff8
1f5,4e,58,460,ffd1,32,fff6
18a,5c,56,462,ffd0,36,fffb
1f4,58,56,460,ffd0,39,fff7
373,42,58,46c,ffcf,35,fff4
405,60,4e,45e,ffcd,36,fff4
307,60,58,460,ffcb,39,fff9
1bf,58,58,45e,ffc8,42,ffff
315,5e,3e,460,ffcc,3c,fff2
260,50,5c,460,ffca,38,fff3
217,4e,58,460,ffcd,39,fff1
31b,60,58,462,ffc7,31,fff3
28c,60,4e,45c,ffc4,30,fff4
26a,60,50,462,ffca,22,fff4
258,4e,52,45e,ffcd,30,fff8
