e876,14e,fe2c,392,1,77,ffd8
e783,16c,fe26,38e,ffb7,5d,ffce
e66e,152,fe2c,392,ff95,29,30
e75f,15c,fe20,38c,ff90,a,a
e8fb,160,fe1c,378,ffea,42,ffce
eab0,16c,fe22,380,55,61,ffab
ec0c,170,fe1c,38e,6d,79,ffc9
ed58,172,fe1e,38e,37,5b,ffee
ed50,172,fe1e,38e,ffb6,26,ffdb
ede0,178,fe2c,37c,ff4e,ffee,ffdc
efad,156,fe3e,360,ff15,ffb7,ffc9
f124,152,fe38,378,ff2d,ffaf,ffb5
f2db,14e,fe06,396,ff91,ffc7,ffa8
f447,172,fe1e,380,fffc,fff6,ffb4
f29c,158,fe32,382,40,1e,ffd6
f3d7,170,fe30,380,3f,33,ffe5
f329,168,fe1c,380,17,31,fff7
f437,17c,fdf6,382,ffcb,1f,9
f457,16e,fe18,380,ff7e,a,ffe6
f609,166,fe26,38e,ff5a,fffe,ffe1
f672,14c,fe30,38e,ff67,5,ffcf
f8ad,166,fe1e,38c,ff9f,1b,ffcb
fa6c,170,fdfc,386,fff7,3b,ffce
fcf3,172,fe0e,392,50,60,ffda
fd53,15e,fe26,392,9e,8a,fff2
4c,160,fe32,386,bf,a1,ffe0
1f0,158,fe2e,392,a3,af,f
2a5,160,fe2c,386,69,b5,14
4e2,16e,fe1e,380,4,88,16
620,15c,fe1e,386,ff92,70,27
5e1,166,fe26,38c,ff6d,5d,15
95e,14e,fe30,390,ff5b,49,ffed
7f0,15c,fe26,386,ff8f,33,fff9
690,14c,fdfe,382,ffc4,44,ffef
44c,166,fe20,380,fff2,4e,ffc0
30f,14c,fe2c,38e,b,4f,ffcd
300,146,fe30,38e,17,41,ffdb
2c6,166,fe20,398,11,2d,ffee
380,162,fe22,38c,fff2,c,ffea
36a,16c,fe1a,386,ffc6,ffe8,ffee
221,176,fe0e,380,ff84,ffd1,2e
114,162,fe1e,386,ff8c,ffd1,3e
1cc,166,fe1e,38e,ffb5,ffcd,ffee
184,16c,fe10,38e,ffcb,ffcc,6
