6e0f,ff42,33e,326,fe0e,fa66,5ba
6683,ff58,2e0,2d8,fe85,fa7d,5ae
5fc2,ff7e,2c2,2ee,feaf,fa79,5ee
5898,ffb0,2fe,330,fe76,fa54,606
5313,ffc0,320,358,fe28,fa40,602
4c3e,ffce,326,342,fe03,fa3e,5dd
44da,ffe2,30e,32e,fdc7,fa2b,5cb
39c1,fff0,2f8,32e,fd79,fa13,5bc
2ece,fffc,2f6,34c,fd46,fa0e,3e9
20b8,6,2fe,358,fd58,fa08,34c
1417,6,2f8,34e,fdad,f9fd,597
af9,1c,2d8,330,fe0f,f9d7,583
10b,fffe,2d8,332,fdb9,fa1b,57e
f9fa,e,2ec,35e,fbd4,fa8a,57c
f49a,30,2e6,370,f9d2,faae,548
f08a,36,2f0,370,f8e5,facf,485
ef99,42,2e6,36c,f907,fa9f,4e8
ef5b,58,2e0,352,fa1b,fa31,35f
f020,58,2d6,372,fc7c,f9d0,2f2
f510,78,2c8,370,ff58,f952,366
fe20,7e,2c0,360,ffc7,f8e7,40d
a81,86,2a6,36e,fd4d,f849,4c3
1695,8e,2e6,37c,f945,f7d9,5ee
1bb5,5c,326,3e0,f560,f7b8,630
103d,e,322,40e,f33e,f7be,22e
f1cd,68,2d2,3b0,f403,f7bb,1fc
ca61,72,276,386,f5f3,f793,3af
9f59,ac,2a6,390,f689,f7df,41a
816b,9c,298,37c,f5a6,f858,40a
8000,a6,24e,346,f42e,f8b6,458
8000,b6,256,380,f371,f90b,3c1
8000,c0,2a0,3e6,f41f,f91b,2c7
8000,bc,2c0,406,309,f5d9,413
8000,86,25e,3e8,364,f61a,3b9
8000,ce,1e0,3ae,372,f66c,652
8000,132,210,3e0,33a,f6d2,5d3
8000,1a6,2ac,420,2bb,f749,55f
8000,1cc,2e0,3fe,219,f7d7,4ff
8000,1c0,2d8,3be,164,f86e,4ae
8000,1c2,28e,378,94,f910,464
8000,1d2,240,35e,ffdc,f9ac,1e2
8000,1d6,240,368,ff69,fa41,1c0
8000,1c0,266,398,ff47,facb,359
8000,1b2,260,390,ff7c,fb3a,306
8000,1ac,23e,372,6,fb96,2b4
8000,1ae,1fe,35c,c4,fbf0,257
8000,1a0,1d6,352,16f,fc57,21b
8846,1a6,1c2,35c,1c3,fcc3,1fc
b33a,198,1e8,360,1ac,fd30,bb
dfb8,19c,202,34e,144,fd9e,88
cb3,1bc,206,33c,88,fe06,1ab
3666,1c8,1fc,322,ffa9,fe67,195
5caa,1b2,1f0,326,ff09,fea5,17e
7b2f,1dc,1d8,322,fed8,fec0,164
7fff,1d6,1d8,31e,ff14,fecc,12a
7fff,1d2,1e8,31c,ff8c,fed4,ef
7fff,1f0,20e,32e,17c,f45a,73b
7fff,1dc,22e,350,96,f4a2,6d0
7fff,1ee,21e,346,ffbf,f4ed,91d
7fff,1fc,206,348,ff43,f52f,8dd
7fff,20e,1f8,33e,ff60,f568,8a2
7fff,20e,21c,346,18,f58a,860
7fff,21e,22e,342,130,f59e,80b
7fff,230,226,338,245,f5b5,7a3
