ee,66,3e,466,ffc7,31,fff8
59,60,4e,460,ffc3,3b,fffb
d9,52,4e,45e,ffbd,39,fffe
203,60,4e,466,ffc0,30,fffe
157,62,50,466,ffc0,30,fffd
e9,5c,50,462,ffbf,31,fff9
ff,60,4e,466,ffc1,31,fff5
133,40,50,46c,ffc5,2f,fff6
147,52,4e,45e,ffc4,2a,fffd
138,58,4c,458,ffc0,24,fffc
e7,62,4c,462,ffbf,2d,fffd
14c,62,4e,46c,ffbf,2f,ffff
14e,64,4e,46c,ffbd,31,fffc
1b8,66,46,466,ffbc,32,fffe
166,66,46,45e,ffbc,30,ffff
189,52,50,460,ffbb,2f,fffd
112,66,46,466,ffbe,2a,fffa
101,58,52,460,ffb9,2d,fffc
e7,5e,3e,460,ffbf,2d,fff9
1da,56,46,46c,ffc5,2d,fffc
19e,58,4e,45e,ffbe,2e,fffa
8c,4e,4e,46c,ffc0,32,fff8
5d,50,4c,46c,ffbf,2f,fffd
103,50,4e,466,ffbd,29,fffb
134,50,48,458,ffc3,23,ffff
19a,5e,56,462,ffc6,22,ffff
1bb,66,3c,460,ffbe,2c,fff8
126,60,52,460,ffbb,31,fffd
1c3,66,4e,460,ffb9,29,ffff
ee,62,52,466,ffbf,2d,fffe
140,5e,4e,460,ffc0,30,fffe
1f5,60,48,460,ffc2,30,fffc
3c,42,4e,466,ffbb,2c,fffa
e2,52,4c,460,ffc4,25,fffc
157,60,52,460,ffc4,29,fffc
e0,5c,4c,460,ffc3,2a,fffa
199,56,50,460,ffc1,28,fff6
15a,5e,4e,45e,ffbb,2c,fff9
e7,50,4e,45c,ffc4,27,fffb
29,56,48,45c,ffbd,29,fff8
30,56,46,466,ffbb,2d,fffc
16f,4e,4e,45c,ffb7,3d,fffd
114,62,4e,460,ffbc,38,fffe
125,66,3c,466,ffc0,2e,fffa
30,4e,46,45e,ffc0,30,fffb
12e,66,50,460,ffbf,31,fff9
1d8,60,4e,460,ffb9,2f,fff9
35b,4e,4e,468,ffb6,2c,fffa
10,58,48,46c,ffc3,2a,fffa
11c,56,50,45e,ffbf,1c,fffc
23,48,58,466,ffbc,27,fff9
31,52,4e,460,ffbe,2d,fff5
232,5c,4e,460,ffc2,2a,fff6
1aa,60,4e,460,ffc1,2e,fffa
1dc,40,4e,46e,ffb8,30,ffff
87,62,50,466,ffbe,2f,fffd
87,50,50,460,ffc2,33,1
169,4c,50,466,ffc2,3c,ffff
250,5e,4e,466,ffbf,30,fff8
132,5e,4e,45e,ffbf,28,fff7
64,62,3c,460,ffc2,2d,fff9
10b,4e,4c,466,ffc4,2b,fff6
7a,52,4e,460,ffbb,2e,fff6
21e,5e,4e,460,ffba,30,0
120,50,46,458,ffba,32,fffa
a2,5c,30,46e,ffbb,39,fffe
17d,46,50,466,ffbf,35,fff8
186,52,4e,460,ffbe,30,fffa
16a,52,4e,45e,ffba,2c,fffe
112,66,38,460,ffb8,2a,fffd
64,42,52,466,ffbf,2d,fff7
122,58,4e,460,ffc1,2f,fffa
113,60,4e,460,ffbb,28,fffb
27a,52,4e,460,ffbd,28,fffa
17e,60,52,460,ffbe,2c,fffb
7d,66,3c,460,ffc2,2f,fff7
f8,66,46,462,ffbd,2f,fff6
184,58,4e,45c,ffb5,2c,0
f9,60,4e,462,ffbb,2c,fffe
203,60,50,466,ffbe,2f,fff9
e6,52,4e,462,ffc6,31,fffc
181,62,3e,460,ffc7,29,ffff
ffd5,60,4e,45e,ffc1,2a,fff8
1a8,60,58,460,ffbb,2a,fffa
1d3,5e,48,462,ffba,2b,fffd
199,68,4c,466,ffbc,2b,ffff
15b,60,46,466,ffbb,2d,fffc
123,50,4e,458,ffbb,2c,fffc
149,50,4e,45c,ffb9,30,fffc
1b2,60,52,466,ffbe,3b,fffe
240,58,42,466,ffc4,39,fffd
4d,52,4e,45e,ffc1,31,fffc
1cf,66,3e,460,ffbf,2c,fffe
117,48,4e,468,ffc3,2c,fffc
161,60,4e,460,ffc0,31,fff9
24a,60,4c,462,ffbc,31,fffb
176,5e,4e,45c,ffb6,32,fffa
b2,4e,4e,468,ffb9,39,0
2b,62,3e,462,ffb9,35,fff7
67,68,4e,462,ffbc,30,fffa
13e,5c,52,460,ffba,2e,fffc
18c,66,42,462,ffbc,2e,ffff
1b8,58,4c,458,ffbd,2b,fffb
19c,58,4e,458,ffc1,2b,fff9
165,66,4e,46c,ffba,26,fffb
9a,66,4e,462,ffbd,1c,fffb
d3,58,4e,460,ffc1,22,fffd
1c5,66,4e,46c,ffc0,2b,fffb
1e8,66,46,466,ffbc,2b,ffff
1a2,50,4c,460,ffbe,2e,fffa
9,58,4e,458,ffc2,30,fffe
102,66,3c,460,ffc0,30,1
1a8,56,46,466,ffc0,31,fff8
301,52,4e,460,ffc0,39,fff9
304,52,4e,458,ffc0,32,fff8
100,60,3e,460,ffbf,2a,fffa
14d,52,48,466,ffbd,2a,ffff
db,4e,4e,46c,ffb6,2f,fff9
141,4e,4c,462,ffbd,31,fff7
174,4e,4e,466,ffbd,30,fff8
89,62,48,460,ffb9,2c,fffb
9d,66,4e,468,ffc1,24,fffc
1d9,58,52,460,ffc2,27,fffb
2f1,62,4c,466,ffc0,2d,fffd
19b,60,4e,466,ffc0,2e,fffa
102,52,50,460,ffc5,34,fff8
5e,46,4e,46e,ffb4,2e,fff9
94,62,46,45e,ffb0,29,fff9
165,60,4c,462,ffc1,31,fff7
16a,58,38,470,ffbf,28,fff5
156,46,50,466,ffc1,24,fff6
9a,4e,4c,466,ffbe,28,fffd
ff2a,6c,4e,468,ffc0,2d,fffb
174,50,4e,460,ffbf,2d,fff9
1e2,50,4e,460,ffbd,30,fffe
11e,50,42,466,ffc1,32,fffe
d0,60,4c,460,ffc4,30,fffc
182,66,52,460,ffc4,2f,fffa
ae,46,52,46c,ffc1,2f,fffa
1ff,52,4e,460,ffc1,2c,fffc
210,60,4e,462,ffbd,2c,fffa
1ad,50,46,456,ffbe,2c,fff9
e3,48,50,466,ffba,2f,fffb
1b3,50,4e,468,ffb9,2f,fffe
77,5c,46,460,ffb9,32,fffb
18b,4e,4e,468,ffb3,3a,fffa
14b,62,4e,466,ffbe,34,fffb
145,66,4e,466,ffc2,2d,fffb
185,58,4e,460,ffbd,29,fff8
10a,66,4e,466,ffbd,2c,fffc
10d,66,48,466,ffbd,2e,fffa
1b1,66,4e,466,ffc0,2c,fff9
12c,5e,4e,460,ffc4,2e,fff9
16f,58,4e,45e,ffc2,3a,fff6
ef,46,4e,46e,ffbd,39,fffd
5f,52,48,466,ffbb,2f,ffff
183,4e,4e,46c,ffc2,30,fffe
13d,52,4e,460,ffc0,34,fffe
65,52,4e,460,ffbe,2c,fffb
16b,4e,4e,46e,ffc3,2b,fff7
1d1,3e,4e,46e,ffc0,2f,fff9
134,5e,50,460,ffbc,25,fff7
157,5c,46,462,ffbb,28,fff6
203,60,4e,45e,ffb9,2e,fff9
22c,66,4e,470,ffba,33,fffd
77,46,50,466,ffba,37,fffb
13c,52,4e,460,ffc3,35,fffa
ffae,5e,50,460,ffc9,28,fff8
e0,66,50,462,ffc1,2a,fff8
1d4,60,4e,460,ffbc,3d,fffc
97,60,4e,45e,ffb8,2f,fff9
17b,5c,4e,466,ffb6,26,fffa
18f,4e,4e,46e,ffbb,28,fff8
dc,66,4e,460,ffbb,28,fffd
165,58,4c,462,ffba,2b,ffff
12d,52,4e,460,ffc1,2b,fffd
7f,60,52,466,ffc1,31,fff8
be,58,4e,466,ffc3,29,fffd
113,6c,4c,462,ffbf,2b,fff4
ffeb,66,46,466,ffc2,30,fff8
7d,5c,50,460,ffc4,2c,fffc
275,5c,52,466,ffc1,2b,fffd
1f1,5e,58,460,ffbf,2b,ffff
226,50,3e,46e,ffc3,2d,fff8
56,60,52,460,ffbd,2e,fffb
14c,58,4e,462,ffc5,38,fffc
bb,5e,4e,460,ffc5,37,fff5
1ab,66,4e,468,ffc2,2d,fff5
2c0,4c,4e,46c,ffc0,2f,fff8
fde5,5c,4e,460,ffbd,30,fffa
164,5c,50,460,ffc0,2e,fffd
ff0a,62,52,462,ffba,2f,fffb
15a,46,4e,470,ffbb,26,fff7
0,50,42,470,ffc2,2a,fffa
96,66,58,462,ffc6,2b,ffff
1a3,5c,4e,460,ffb4,33,fffd
186,52,4e,460,ffb9,2a,fffa
160,60,4e,466,ffc9,2c,fff8
16b,4e,4e,466,ffc2,32,ffef
ff,5e,4e,460,ffbe,2b,fff3
67,66,42,460,ffb3,2b,fff7
205,66,48,462,ffbe,32,fff7
1ce,50,46,470,ffb7,2e,fffa
1ce,4e,50,462,ffad,28,ffff
c8,58,4e,466,ffac,27,ffff
fe,56,46,466,ffc4,39,1
8f,60,4c,45c,ffc8,2e,fffa
aa,60,50,46c,ffb7,2c,fff8
221,50,46,46c,ffb9,31,fffd
19a,66,50,466,ffbd,3e,fffd
1b1,62,42,460,ffbe,3a,fffd
75,62,4c,46c,ffbc,35,ffff
febd,58,4e,450,ffbe,2f,fffd
fd,66,48,466,ffbf,2c,fff6
9b,5e,4e,452,ffbd,2e,fff6
18b,56,4e,458,ffba,30,fffb
ffb1,68,48,470,ffba,33,fffc
89,66,4e,468,ffc4,2d,ffff
128,5e,4e,462,ffbf,32,fffc
191,62,4e,470,ffb7,3e,fffe
265,60,4e,450,ffc8,1c,fff9
165,5c,52,456,ffca,2f,fff7
42,62,4e,466,ffcc,17,fff9
7d,46,50,470,ffc5,36,fff8
14f,60,52,462,ffc7,34,fff7
b6,4e,58,46c,ffc5,36,fffa
155,60,4e,45c,ffc3,33,fffb
176,4e,4c,472,ffc0,2f,fffb
c6,42,4e,468,ffbe,2b,fff6
57,56,4c,460,ffbf,2a,fff6
127,52,46,46e,ffc4,28,fff6
259,4e,50,466,ffca,29,fff9
211,5c,4c,460,ffc3,2e,fffc
13f,62,52,460,ffc1,27,fffe
66,52,50,46c,ffba,2b,fffb
aa,60,4e,460,ffbc,2d,fffc
1b9,60,4c,460,ffbf,2c,fffc
f2,56,4e,45c,ffbd,2c,fffa
c4,66,3c,460,ffc0,29,fffb
13f,5e,50,460,ffc3,29,fffd
9b,66,4e,468,ffc2,2f,fff9
134,66,4e,466,ffc7,38,fffb
10b,56,4c,460,ffc3,32,fffe
108,40,58,46c,ffc5,31,fffb
110,62,4c,462,ffc2,31,fffb
132,52,4e,46e,ffc0,31,fffa
254,62,4c,466,ffbf,2e,fffa
1c1,66,4c,46c,ffb8,2c,fffc
1e3,6c,46,460,ffc5,2d,fff8
e6,5e,4c,466,ffc4,25,fff8
ed,5c,4e,460,ffc2,25,0
121,66,4e,466,ffc3,2c,0
74,5e,4e,460,ffc3,30,fffc
9d,66,50,466,ffc5,2d,fffb
e8,66,3e,460,ffc5,2d,fffb
1c9,66,3e,460,ffc7,31,fffa
190,58,4e,460,ffb8,2a,fff9
4e,42,3e,46e,ffbc,28,fff6
40,42,50,46e,ffc1,2d,fff9
ffc9,66,4c,460,ffc1,31,fff9
101,68,4e,462,ffbf,31,fffa
140,60,50,462,ffbc,32,0
219,4c,50,468,ffc0,34,0
1f4,5e,50,460,ffbf,31,fffb
100,50,50,45e,ffc2,33,fffb
184,66,4e,460,ffc9,39,fff9
17c,62,4c,466,ffc7,34,fffa
17d,5e,52,460,ffc4,32,fffc
1a2,66,4e,466,ffbc,2b,fffb
24e,62,50,462,ffb6,2b,fffd
21c,5e,50,460,ffb7,31,fffc
1be,60,3c,460,ffbb,2e,fffa
8d,60,4e,460,ffbc,2e,fff8
18b,5e,50,462,ffbe,33,fffa
b1,66,3c,460,ffbe,31,fff7
