3b4b,14e,fe4c,3ce,3b,fb6b,58
2ce9,138,fe9c,3e0,a3,fcbf,69
2230,102,fefc,3f0,2,fdb6,370
19d3,112,fef2,3fe,febe,fe3c,30a
16a5,110,fec6,40e,fd6f,fe3f,259
1781,fe,fef0,44e,fc5d,fe23,1c9
19db,f2,fefc,458,fc29,fe49,11e
1cc4,106,feee,432,fc9c,fe62,54
2216,ee,feb2,3d6,fd04,fea0,c8
2767,ec,fe82,386,fd9b,ff43,84
2a80,132,fe46,38e,fdfd,ffc9,37
2abf,136,fe26,376,fd6f,fffb,76
2b46,16e,fe3e,346,fcce,3c,d2
2b34,172,fe62,33c,fbe8,6e,d7
2c5a,1ae,fe7c,382,facf,9f,d9
2b22,1c6,fe38,3de,f9db,9d,e3
29a9,1cc,fe4c,3f8,f949,d5,fe57
2768,1b2,fe3e,3c2,f97a,11c,fe0d
2413,162,fe60,3b0,faa4,1b4,1f
238b,14e,fe7e,392,fc4b,26f,ffcb
2409,140,fe6e,386,fe1b,329,ff9f
2701,138,fe36,380,ff99,3e1,ff5a
27d7,152,fe02,37e,c2,436,ff12
2b51,180,fde0,392,1ee,490,fec9
2e16,17e,fe08,392,2fb,4d1,fe90
30de,180,fe30,38e,3b9,501,feb7
34f9,160,fe4e,396,400,4fd,fdd4
3b40,158,fe60,3b2,3de,4c2,fda8
419a,148,fe70,3cc,38e,474,fda5
493d,130,fe8e,41c,2f7,3e1,fdb3
4ed1,11e,fe7c,3e6,193,317,fddd
5550,14c,fe58,3ae,ffb0,1f4,fe30
5b75,14c,fe40,386,ffb4,d5,18
5c0f,15c,fe1e,392,ffa2,d1,35
5c5c,150,fe08,3a6,ffba,a6,ff96
5aef,166,fe30,3b0,fff7,76,ff92
5920,14c,fe4e,3b8,2b,50,ff93
58ea,138,fe68,39e,2,23,ff97
585a,142,fe56,39e,1b,b,ffb2
56d4,138,fe3e,3a6,ffe5,ffea,ffe2
5596,138,fe38,3a2,fe27,ff94,110
537d,13c,fe3c,398,fe11,ff3c,fa
5199,140,fe46,38e,fe58,ff01,3d
4f8f,146,fe42,398,feb4,fed9,40
4e59,150,fe20,398,fed3,feca,60
4bf4,160,fe20,38e,fea7,feda,8c
4926,15e,fe20,39e,ff64,fee1,b3
4663,158,fe30,390,feb3,fed9,f3
45f6,142,fe30,39e,fdd0,fec3,fff5
452c,14e,fe30,398,fdcb,fec2,ffdb
44a2,138,fe30,3a0,fddf,fef6,dc
457e,13c,fe2c,3a2,fe01,ff3b,bd
4683,13e,fe3e,3ac,fe44,ff77,95
465c,130,fe42,39e,fec8,ffb5,76
476e,152,fe28,398,fe55,ffea,56
48e5,146,fe2e,392,fe00,20,26
4a31,150,fe1e,38e,fde8,1a,ff91
4bd0,158,fe20,38c,fdce,16,ff94
4ce7,148,fe1e,386,fde0,2c,5
4cf6,152,fe1c,382,fe53,53,ffd1
4e35,146,fe18,392,ff1b,91,ff90
4d63,150,fe12,398,ffcc,c4,ff8a
4d49,15c,fe26,392,16,e6,ff9c
4d2d,152,fe3c,398,22,de,ff99
4c32,14e,fe36,398,46d,1ac,159
4703,138,fe08,39e,415,1a8,118
43f8,14c,fe2c,396,378,1bc,5b
4136,158,fe06,386,244,1bb,6d
3dd6,14c,fe20,382,63,16d,d9
392e,14e,fe22,380,fe3b,da,142
34b5,13c,fe1c,392,fc81,34,15e
2c4d,140,fe16,378,fb98,ffa0,165
2349,14e,fe1c,38e,fb22,ff73,aa
1a5c,138,fe20,39c,fafb,ff6f,cd
fce,138,fe18,39e,fb07,ff70,e4
895,142,fdec,380,faff,ff76,d0
a74,15c,fdce,360,fb32,ff5e,a9
1492,170,fe38,3a6,fbbc,ff61,7d
23b6,138,fe8e,3be,fc27,ff91,72
33ee,11e,fe68,3c6,fc29,ffc6,7e
4292,14c,fe08,39e,1ac,ffcc,50
504b,178,fe10,380,fc0d,ffb4,44
5912,148,fe68,3b8,fbd0,ffad,bb
5efd,11e,fe86,38e,fbf6,ffbb,88
5e4e,13e,fea0,39e,fce2,0,54
57df,11e,fe92,3c6,fe49,5e,28
4b61,116,fe7e,3e2,ffb7,a4,31
3e1f,138,fe48,3c6,de,d3,55
3059,138,fe2e,3c0,538,1de,0
246a,146,fe3c,3bc,32d,d5,64
1930,148,fe42,3b6,209,ffe7,61
d94,132,fe46,398,210,ffa8,fff8
182,138,fe3c,38c,2ea,8,ff5a
f344,13c,fe0e,388,43a,ae,ff43
e798,148,fdf6,3a0,529,16b,ff7f
d9a5,156,fe0e,398,533,1c5,ff9b
ccb3,13e,fe30,39e,1062,43f,f845
bf5f,13c,fe46,39c,115d,4d6,f771
b401,138,fe48,3a0,1229,558,fac1
abb7,13c,fe42,3a6,12bc,5df,fa57
a339,130,fe3e,3ac,1228,65f,f9cf
9e69,136,fe50,3ce,102e,6e5,f992
9449,128,fe52,3d8,cbb,71a,f94a
8981,120,fe50,3bc,ecc,6ba,f8d9
8135,146,fe36,3a0,fcc8,5df,e950
8000,132,fe3e,3b0,eeb2,4a9,e853
8000,122,fe26,3b8,e688,1da,f682
8000,116,fe12,39e,e385,fd04,f54c
8000,11e,fe4c,398,e397,fa52,f297
8000,126,fe72,3b6,e636,fa67,ef0f
8000,14c,fe78,3c0,d33,fb8b,ec67
8000,126,fe46,3ae,7f9,fddc,ea96
8000,13c,fdfe,392,495,35,fe5f
8000,170,fdf8,378,397,1d,fe55
8000,15e,fe28,3a6,1c0,ffc4,1c8
8000,13e,fe30,3c6,ffa0,ff3a,15e
8000,138,fe12,3b0,fe1d,fec1,d1
8000,160,fdd8,36c,fdd9,fe9f,9
8000,162,fde6,396,fecd,ff2d,ff3e
8000,130,fdd8,3a8,52,3e,feaa
8000,152,fdf0,386,44b,126,fb5e
8000,160,fe3e,39e,4b9,19f,faea
8000,142,fe82,3fe,50e,1e7,fe27
8000,140,fec6,430,5ea,1fd,fdc4
8000,190,fe82,3b0,7e3,1ea,fd84
8000,21c,fdd0,32e,a77,1dc,fd5f
8000,280,fd62,2f6,1e6,247,fcf5
8000,2a2,fd8e,2d8,351,33f,fc2f
8000,25c,fe2e,2f8,27a2,d82,fcf2
8000,220,fe92,34e,21ee,cc1,fbf6
8000,22e,ff0c,3a0,1cf2,a0d,23f
8000,20c,ff2e,392,1919,6e3,1da
8000,226,ff06,33c,15e7,4f0,84
8000,24e,fece,2e6,1248,4b0,fed0
8000,258,febe,2c0,d56,515,fdb9
8000,21e,fe9c,292,776,4c7,fd49
8000,1d6,fe4e,23e,b6b6,c10,374
8000,1e0,fd98,198,bc2b,bd9,490
8000,1d2,fca2,f0,c1a3,b4d,fe1e
8000,1b0,fc06,8e,c928,af0,ff46
8000,170,fc0e,6e,d320,a88,54
8000,110,fc70,1e,e095,ab0,f1
8000,106,fbb8,ffb8,f007,c31,145
8000,140,fb0e,ffb0,fe45,d8b,232
8000,118,fbf0,12,a20,e9e,9b7
8000,dc,fd1e,78,1264,f24,94e
8000,ee,fd9e,c0,17c5,eeb,57b
8000,e0,fd2e,e2,1b75,e55,629
8000,12e,fc8c,106,1e1f,d9f,6f0
