e3ca,30,febe,406,ff11,ffc9,51
e350,2e,feb6,3fe,ff16,ffdc,5d
e22e,20,feb8,40c,ff12,ffda,53
e162,28,feae,40e,fefb,ffc9,5b
e217,30,feb8,3fe,fedb,ffb1,55
e271,2c,feae,3f2,fec3,ff9d,50
e33a,38,fea6,3f8,feb8,ff88,52
e306,38,febc,412,feb0,ff84,4f
e4c2,2c,fec2,416,feab,ff83,4e
e561,30,fec0,40c,fe9b,ff75,51
e71a,3e,feac,3f0,fe6d,ff79,56
e513,3e,feb0,3f0,fe2e,ff7e,4a
e6c1,38,feb2,406,fdde,ff84,4f
e744,26,fec0,410,fda5,ff5d,5d
e68a,26,feb2,40e,fd67,ff2f,67
e7b7,26,fec0,3ee,fd5e,ff3f,64
e881,22,feb2,3e2,ff67,ffd9,fffc
e95a,2c,feaa,406,ff45,ffd3,ffe1
e9c1,3e,feb8,406,ff26,ffdc,1c
e96e,2c,fec2,3f0,ff46,ffe6,2a
e86b,2c,fec2,3fe,ff51,11,33
e712,26,feb8,402,ff7d,3b,2f
e59f,2c,fe9e,3f0,ffb3,2f,16
e438,40,fe9e,3fc,ffe0,60,16
e1fe,3c,fe96,3fc,2,62,4a
e054,32,febc,406,fff3,63,4e
dfd7,20,feac,412,ffb1,3d,fff7
e168,32,fe98,406,ff53,fffb,fff2
e34a,e,feae,406,ff06,ffc8,0
e5ae,38,feb8,3f8,fedc,ffac,22
e70f,3c,feae,40e,fedd,ffb1,2f
ea27,4c,fea2,3fe,fef9,ffb7,3f
eb3b,26,fe98,3fc,ff7e,ffd6,24
ec81,38,fe72,3fe,ff8e,ffdf,1a
ed90,30,fe9e,3e6,ffa2,fff9,2f
f08c,42,fe98,3e6,ffa5,11,30
f3a0,46,fe98,3f2,ffab,1a,2e
f5c3,36,fe8e,3ee,ffb6,16,2c
f8aa,26,fea6,3f0,ffd6,d,2d
fc22,26,fe98,3fc,6,11,29
45,46,fe92,3f0,fec1,ffc0,ff9e
3b7,42,fe8e,3e2,fee3,ffe9,ff68
500,46,fe86,3e0,feeb,fff3,ffdc
820,50,fe6e,3e0,fee0,fff4,ffd0
bda,3e,fe7e,3ec,fece,8,ffc2
d74,4e,fe86,3f6,fec1,3d,ffbf
1083,32,fe98,3ec,febf,2f,ffb7
139b,4c,fe92,3d8,fead,47,ffb8
