0,0.2217
0.001,0.2067
0.002,0.357
0.003,0.6577
0.004,1.3022
0.005,2.6843
0.006,2.4869
0.007,-0.2062
0.008,-2.9006
0.009,-2.5507
0.01,-2.2327
0.011,-1.9435
0.012,-1.6808
0.013,-0.9639
0.014,-0.7468
0.015,-0.5494
0.016,-0.3699
0.017,-0.2068
0.018,-0.0585
0.019,0.0763
0.02,0.1988
0.021,0.3101
0.022,0.4114
0.023,0.3193
0.024,0.403
0.025,0.327
0.026,0.3962
0.027,0.459
0.028,0.5161
0.029,0.4641
0.03,0.5114
0.031,0.5542
0.032,0.359
0.033,0.3945
0.034,0.4268
0.035,0.3975
0.036,0.3709
0.037,0.3951
0.038,0.3731
0.039,0.3531
0.04,0.2986
0.041,0.249
0.042,0.264
0.043,0.3048
0.044,0.3173
0.045,0.351
0.046,0.2997
0.047,0.309
0.048,0.3006
0.049,0.1851
0.05,0.2015
0.051,0.2554
0.052,0.2103
0.053,0.2239
0.054,0.4106
0.055,0.8107
0.056,1.6684
0.057,3.0171
0.058,0.324
0.059,-2.9006
0.06,-2.9006
0.061,-2.4773
0.062,-2.0924
0.063,-1.7425
0.064,-1.4244
0.065,-1.1353
0.066,-0.8726
0.067,-0.6336
0.068,-0.4164
0.069,-0.2191
0.07,-0.0396
0.071,0.1235
0.072,0.2718
0.073,0.1371
0.074,0.2596
0.075,0.3709
0.076,0.4722
0.077,0.3801
0.078,0.4637
0.079,0.5397
0.08,0.4705
0.081,0.5333
0.082,0.3619
0.083,0.4139
0.084,0.4612
0.085,0.4183
0.086,0.3793
0.087,0.4149
0.088,0.3826
0.089,0.4119
0.09,0.3321
0.091,0.3079
0.092,0.2859
0.093,0.346
0.094,0.3279
0.095,0.3444
0.096,0.3293
0.097,0.3429
0.098,0.2806
0.099,0.1338
0.1,0.1938
0.101,0.1757
0.102,0.2473
0.103,0.2308
0.104,0.2759
0.105,0.481
0.106,0.921
0.107,1.8645
0.108,1.7297
0.109,-0.1096
0.11,-2.9006
0.111,-2.5157
0.112,-2.1658
0.113,-1.8478
0.114,-1.5587
0.115,-1.2959
0.116,-1.0569
0.117,-0.4053
0.118,-0.2079
0.119,-0.0284
0.12,0.1347
0.121,-0.0136
0.122,0.1212
0.123,0.2437
0.124,0.355
0.125,0.2537
0.126,0.3458
0.127,0.4295
0.128,0.5055
0.129,0.4363
0.13,0.4991
0.131,0.5562
0.132,0.4002
0.133,0.353
0.134,0.3958
0.135,0.4348
0.136,0.3993
0.137,0.8834
0.138,1.9216
0.139,-0.3044
0.14,-1.2585
0.141,-0.9694
0.142,-0.7067
0.143,-0.4677
0.144,-0.2506
0.145,-0.0532
0.146,-0.2326
0.147,-0.0695
0.148,0.0789
0.149,-0.0559
0.15,0.0666
0.151,0.1779
0.152,0.2792
0.153,0.3169
0.154,0.409
0.155,0.3253
0.156,1.4672
0.157,2.9362
0.158,3.1336
0.159,5.8267
0.16,3.1323
0.161,2.7824
0.162,3.1005
0.163,3.3896
0.164,3.6523
0.165,4.3692
0.166,4.5864
0.167,4.7838
0.168,4.9632
0.169,5.1263
0.17,5.2747
0.171,5.4094
0.172,5.7771
0.173,5.8884
0.174,5.9897
0.175,6.0818
0.176,6.1655
0.177,6.2415
0.178,6.3107
0.179,6.3735
0.18,6.4306
0.181,6.4826
0.182,6.2462
0.183,6.461
0.184,6.578
0.185,6.4714
0.186,6.4392
0.187,6.4099
0.188,6.3301
0.189,6.2574
0.19,6.1034
0.191,6.0834
0.192,6.1016
0.193,6.0851
0.194,6.0701
0.195,6.1109
0.196,6.0984
0.197,6.0873
0.198,6.036
0.199,5.9333
0.2,5.8925
0.201,5.9298
0.202,5.8961
0.203,6.0296
0.204,0.9072
0.205,0.634
0.206,0.3608
0.207,0.8937
0.208,2.0355
0.209,3.1781
0.21,5.4041
0.211,8.2671
0.212,4.8028
0.213,3.4057
0.214,2.9824
0.215,3.3672
0.216,3.0173
0.217,3.9715
0.218,4.2606
0.219,4.5234
0.22,5.7183
0.221,6.8045
0.222,5.4221
0.223,5.2426
0.224,5.4058
0.225,5.5541
0.226,5.4193
0.227,5.2968
0.228,5.854
0.229,6.158
0.23,6.0659
0.231,6.1495
0.232,6.0735
0.233,6.1428
0.234,6.2056
0.235,6.2627
0.236,6.1067
0.237,6.0594
0.238,5.9307
0.239,5.8137
0.24,5.7782
0.241,5.746
0.242,5.8926
0.243,5.8661
0.244,5.8903
0.245,5.9562
0.246,6.0162
0.247,6.0708
0.248,6.1204
0.249,6.0151
0.25,6.056
0.251,6.0684
0.252,6.0347
0.253,6.1065
0.254,6.1158
0.255,0.2656
0.256,0.2404
0.257,0.2942
0.258,0.3993
0.259,0.6251
0.26,1.1092
0.261,2.1474
0.262,0.2182
0.263,-2.6736
0.264,-2.9006
0.265,-2.9006
0.266,-2.5826
0.267,-2.2935
0.268,-1.505
0.269,-1.2661
0.27,-0.6144
0.271,-0.417
0.272,-0.2376
0.273,-0.0744
0.274,0.0739
0.275,0.2087
0.276,0.5764
0.277,0.465
0.278,0.5663
0.279,0.6584
0.28,0.7421
0.281,0.8181
0.282,0.6104
0.283,0.6732
0.284,0.6161
0.285,0.5641
0.286,0.6113
0.287,0.6542
0.288,0.6152
0.289,0.5796
0.29,0.3539
0.291,0.2072
0.292,0.1274
0.293,0.2486
0.294,0.3145
0.295,0.4147
0.296,0.4328
0.297,0.4824
0.298,0.4974
0.299,0.3744
0.3,0.424
0.301,0.409
0.302,0.4225
0.303,0.4101
0.304,0.4438
0.305,0.413
0.306,0.4561
0.307,0.3533
