0,-4.066,0
0.001,-3.15,0
0.002,2.526,0
0.003,7.836,0
0.004,18.09,0
0.005,40.612,0
0.006,56.725,0
0.007,29.992,0
0.008,12.231,0
0.009,-10.291,0
0.01,-13.221,0
0.011,-15.784,0
0.012,-18.165,0
0.013,-20.362,0
0.014,-14.32,0
0.015,-12.489,0
0.016,-10.841,0
0.017,-6.446,0
0.018,-7.728,0
0.019,-6.629,0
0.02,-0.953,0
0.021,1.977,0
0.022,2.892,0
0.023,3.625,0
0.024,5.822,0
0.025,10.4,0
0.026,6.005,0
0.027,11.132,0
0.028,7.836,0
0.029,4.723,0
0.03,9.85,0
0.031,10.4,0
0.032,10.949,0
0.033,9.301,0
0.034,6.005,0
0.035,5.639,0
0.036,7.653,0
0.037,10.217,0
0.038,9.85,0
0.039,13.146,0
0.04,10.033,0
0.041,13.879,0
0.042,12.597,0
0.043,8.385,0
0.044,8.935,0
0.045,7.653,0
0.046,8.019,0
0.047,5.273,0
0.048,7.836,0
0.049,3.808,0
0.05,5.09,0
0.051,4.723,0
0.052,5.09,0
0.053,11.315,0
0.054,25.231,0
0.055,55.444,0
0.056,68.261,0
0.057,48.669,0
0.058,16.442,0
0.059,-5.164,0
0.06,-16.883,0
0.061,-20.362,0
0.062,-23.475,0
0.063,-26.405,0
0.064,-23.841,0
0.065,-21.461,0
0.066,-19.263,0
0.067,-21.278,0
0.068,-19.447,0
0.069,-17.799,0
0.07,-10.291,0
0.071,-11.573,0
0.072,-8.094,0
0.073,-6.995,0
0.074,-2.052,0
0.075,0.695,0
0.076,-6.812,0
0.077,-1.868,0
0.078,0.878,0
0.079,-3.15,0
0.08,-0.953,0
0.081,2.343,0
0.082,0.512,0
0.083,2.16,0
0.084,3.442,0
0.085,3.808,0
0.086,6.554,0
0.087,11.498,0
0.088,10.949,0
0.089,11.498,0
0.09,8.752,0
0.091,9.118,0
0.092,7.836,0
0.093,1.611,0
0.094,2.526,0
0.095,0.146,0
0.096,-0.587,0
0.097,1.244,0
0.098,-0.587,0
0.099,4.54,0
0.1,-1.685,0
