fb41,2d2,1b8,2e0,4e,ff70,ff83
fb3e,2e6,1b0,2d2,72,ff7c,ff78
fa57,2e0,1b0,2d2,93,ff99,ffdf
fa57,2f0,1b8,2e6,af,ffb7,ffd9
f951,2e6,1b2,2d2,bf,ffd1,ffd2
faeb,2f2,1c0,2d2,c4,ffe4,ffc6
fb5b,2e6,1c0,2ce,a8,4,ffaa
fd73,2e6,1c0,2de,71,33,ff95
fe48,2f6,1ae,2e0,3b,59,ffb2
fea0,2de,1be,2e0,1b,7f,ffa5
ff1e,2dc,1c6,2d8,22,9c,ff7c
fdbb,2ec,1c6,2ce,3c,a8,ff8a
fc7b,2e0,1c2,2ce,61,b1,ff9b
fd21,2de,1be,2ce,87,ad,ffab
fd43,2f2,1b8,2c6,af,9d,ffb2
fcd4,2e6,1b8,2c0,c4,8a,ffb4
fc42,2f0,1b8,2c2,b8,78,ff3a
fb29,2dc,1be,2c0,a7,63,ff30
fbde,2ce,1bc,2ce,a9,55,ff8d
fc8f,2e6,1b8,2c6,bd,51,ff80
fc43,2ee,1a6,2c6,e2,4e,ff7c
fb70,2d8,1b8,2c6,110,4a,ff72
fa5b,2e0,1c0,2e0,139,4b,ff63
f9cf,2d2,1cc,2e0,139,4f,ff4b
f9ec,2e0,1c6,2d2,177,4b,ff53
fa88,2de,1c6,2ce,10f,36,ff6d
f9ce,2e0,1c0,2d6,eb,36,ff22
f991,2f2,1c6,2e2,d5,2d,ff1d
f94b,2d6,1d0,2e0,e0,19,ff1b
f957,2c6,1d2,2d8,104,15,ff18
fb46,2d8,1ce,2ce,12b,1c,ff2c
faeb,2dc,1ce,2d2,151,20,ff3d
fb6d,2d0,1d6,2ce,ab,ff7b,fe10
fab9,2de,1d0,2d2,79,ffd1,fe34
f7e6,2c6,1e0,2be,2b,27,fdb8
f871,2be,1ec,2ce,ff94,6a,fd9a
f9fd,2ce,1e6,2ce,fecc,a0,fd9a
f8ed,2c2,1e8,2c2,fe05,c3,fdb5
fa13,2ce,1ce,2b8,fd6d,d3,fdd5
fbce,2ac,1d2,2bc,fd33,e3,fdf2
fc4b,2a6,1ce,2c6,fd46,f4,ffab
fcec,2b0,1cc,2cc,fd7a,fe,16
fdae,2b0,1d8,2c2,fdc1,f9,fe4b
fe3d,2ce,1ec,2c0,fe07,e7,fe6f
63,2ce,1f0,2be,fe1f,cd,feac
ff5c,300,1dc,298,fe02,b6,feea
fe4f,332,1d0,27e,fdd8,aa,ff26
fda8,33e,1c0,268,fdd1,bd,ff5f
fc7c,346,1be,270,fdd9,dd,1f8
fd45,342,1b6,270,fdab,ef,235
fde4,340,1c2,272,fd58,102,92
feab,318,1d0,276,fd0a,112,ee
1,2e0,1ec,27e,fcf1,11f,12b
ff97,2c0,1e6,282,fd5d,131,181
c4,2ce,1dc,28e,fe49,155,1b2
362,2b8,1e8,2a2,ff46,17e,1ca
548,2c0,218,2b6,1e1,b,fe63
706,2bc,22e,2a2,168,ffac,fdff
8b1,2ce,226,2a8,112,ff5c,96
9eb,2b2,23e,2c6,df,ff1b,65
b90,29e,238,2ce,db,fef3,13
