265,ff7e,238,3ce,ffc1,1a,f
253,ff7e,23e,3c8,ffaa,1d,19
3c9,ff66,238,3d6,ffa4,1f,23
351,ff78,230,3c6,ff9f,20,24
5c3,ff78,23c,3c6,ffa0,24,22
659,ff80,232,3c6,ffc3,35,ffef
677,ff82,230,3c6,ffc6,38,ffef
74b,ff80,238,3c0,ffc0,3a,c
768,ff7c,23e,3d0,ffb3,39,9
86a,ff80,23e,3cc,ffa7,37,fffd
980,ff78,238,3c6,ffa5,33,fff6
b85,ff62,23e,3ce,ffb0,2c,fff0
b40,ff6c,238,3cc,ffc2,1e,ffee
cd9,ff80,230,3c6,ffe3,d,a
d9d,ff76,236,3c6,ffdc,fffd,1
d79,ff80,236,3cc,ffe0,5,fff0
e33,ff70,232,3c6,ffe1,18,fffe
dc4,ff7c,238,3ce,ffd9,24,b
c6c,ff78,23e,3c6,ffc5,29,f
bc3,ff78,242,3cc,ffdd,29,17
b41,ff70,23e,3ce,ffef,27,16
b30,ff80,230,3c6,ffc3,1e,ffe5
cef,ff80,23c,3c6,ffc3,1a,ffec
cce,ff86,23e,3c0,ffc6,19,fffb
b23,ff80,232,3c0,ffc4,17,fff1
ba1,ff70,23c,3b8,ffb6,19,ffe0
b5f,ff66,23e,3d8,ffa5,16,ffda
b81,ff70,230,3d8,ffc0,1c,ffdb
b1e,ff86,238,3ce,ffc4,1d,ffdf
b88,ff72,238,3d2,11,21,fffd
903,ff66,238,3d8,27,19,fffb
72b,ff70,23e,3c8,30,28,fffa
538,ff66,23c,3ce,32,32,fffa
445,ff80,22e,3c6,2b,3d,fffd
2fb,ff86,236,3c6,2b,47,fff9
3a9,ff7e,238,3ce,29,4b,fff8
3ee,ff70,23e,3c0,1a,4c,fff8
4b8,ff78,238,3c8,2,42,2c
319,ff70,230,3ce,ffd9,2f,28
12b,ff80,23c,3c6,ffbb,29,fff7
292,ff70,232,3ce,ffbd,23,fffa
1f9,ff80,238,3c0,ffd8,12,4
144,ff80,23e,3c6,ffee,a,11
9a,ff86,23e,3d0,ffe5,7,1b
112,ff86,240,3ce,ffd3,fffd,25
fff3,ff70,23e,3ce,ffca,fff3,47
fdf4,ff80,238,3c6,ffd2,ffe6,45
fcf0,ff7c,232,3c2,ffde,ffe2,25
fc77,ff78,22e,3b2,ffd7,ffe3,21
fbfc,ff70,23e,3c8,ffcd,ffdd,21
f76f,ff7c,23c,3cc,ffcc,ffde,2a
f7c4,ff78,23e,3c0,ffd2,ffe0,34
f7b8,ff72,23c,3c6,ffe4,ffe8,43
f80a,ff86,238,3ce,fff1,fff1,ffde
f806,ff78,238,3ce,3,ffed,ffcd
f841,ff7e,238,3ce,16,ffe4,44
f901,ff76,230,3c0,2e,ffde,38
f9f4,ff8e,23e,3d2,4a,ffe0,23
face,ff86,240,3d8,5d,ffe9,13
fbf4,ff8e,240,3ce,67,ffed,b
fcaa,ff70,23e,3c6,70,ffec,fff6
fd64,ff62,242,3c6,ffd6,5,ffb8
fd66,ff80,238,3c0,ffea,f,ffb9
fc7e,ff82,238,3c0,7,16,ffd0
fa61,ff8e,23c,3cc,29,10,ffc6
f967,ff82,250,3c6,49,3,ffc1
f9d6,ff80,246,3ce,4e,ffff,ffb7
f941,ff8e,24c,3ce,ffeb,fff9,ffb2
f926,ff78,24e,3ce,ffd1,fff8,ffb6
f972,ff78,246,3b2,ffd5,0,ffba
f95a,ff8e,23e,3c6,ffbb,3,ffbc
f60a,ff62,246,3c6,ffb8,1d,ffb5
f797,ff8e,246,3c0,ffd4,2f,ffac
f535,ff7e,24e,3b2,5,36,ffb4
f48b,ff7e,24e,3c6,17,3a,ffc0
f416,ff86,25c,3bc,2c,33,ffc3
f27e,ff90,250,3b8,3,25,ffbd
f1f8,ff88,258,3b8,18,21,ffe9
f200,ff90,250,3c2,17,26,fff5
f141,ff80,250,3bc,1,1c,ffb8
f0d5,ff80,24e,3c6,ffdd,15,ffb5
efba,ff8c,250,3be,ffbc,1d,ffbb
f10f,ff90,258,3bc,ffac,23,ffc6
efaa,ff80,246,3cc,19,26,ffc8
f10f,ff8e,250,3c2,18,2c,ffd0
f0c9,ff8e,24e,3c8,98,ffd8,ffd1
f0e7,ff8e,246,3bc,b2,ffd4,ffd0
f159,ff86,24e,3c2,cc,ffcc,ffcb
f1dc,ff8e,246,3b8,d3,ffc7,ffc7
f1a2,ff80,256,3b8,d3,ffc5,ffd2
f1ef,ff8c,24e,3c8,b2,ffcc,ffde
f0dc,ff80,24e,3be,6e,ffe2,ffe2
ef6f,ff7e,24c,3be,25,fff2,ffd5
eeda,ff90,252,3cc,ffc6,ffde,ffe9
ee3b,ff70,24e,3c6,ffe4,ffda,ffee
eaab,ff80,246,3c2,fff7,ffdf,fff7
ea1c,ff90,256,3c0,ffef,ffeb,fff3
e921,ff8e,258,3b8,ffe1,fffd,fff0
