bf56,5e,46,fdb2
cc8a,72,52,fda2
d869,72,4e,fdb0
e0a4,5e,46,fdb8
e485,4e,4e,fdb0
e5b7,60,4e,fdb8
e4ed,62,4e,fdb0
e340,70,4e,fdb8
e43f,60,4c,fda6
e738,60,46,fd9e
ecdd,66,4e,fdb2
f3be,5e,4e,fda6
fa94,72,3c,fdac
1df,66,4c,fdac
93a,70,50,fda6
1112,72,50,fdae
17b0,52,52,fdbc
1dda,66,4e,fdb0
22cf,66,4e,fdb0
2711,60,48,fda6
2c05,70,3c,fda6
2fcf,60,4e,fdae
31ce,5c,4c,fdae
3244,4e,4e,fdb8
30fc,62,4c,fdac
30b1,70,52,fda2
312b,60,4e,fda8
342d,62,50,fdae
378b,66,4e,fdac
3b04,5c,46,fda0
3d8f,5c,4e,fdb8
3eff,66,4e,fdb0
397a,60,4e,fda6
280f,4e,4c,fdb2
ac5,66,46,fda2
e844,66,48,fda6
c7e3,60,4e,fdb6
afd0,6e,46,fdb0
a2f1,5c,4e,fdbc
a087,72,42,fda6
a5ab,62,4e,fdae
af1d,6e,4e,fdb0
b917,70,4e,fdb0
c3ce,70,4e,fda6
ceff,58,50,fdbc
d904,50,4e,fdb8
e1e9,70,3e,fdae
e70a,5e,46,fdb6
e8fc,60,52,fdb8
e833,5e,4e,fdb8
e6ee,60,46,fdb8
e677,62,4e,fdb0
e76e,5c,56,fdbe
eaf3,66,4e,fdb0
f068,70,50,fdb6
f75f,62,4c,fda6
fec5,70,52,fda2
6b1,72,4c,fd9e
ed3,60,4e,fdb2
16f2,70,46,fdae
1e80,66,4e,fdb2
24e0,60,46,fda0
28e1,62,4e,fdac
2bd0,70,52,fd9e
2dd3,72,4e,fda0
2dd8,70,4e,fdb2
2e06,70,50,fd9e
2dce,5e,4e,fdb0
2f0c,62,4c,fdac
3137,70,52,fdb0
335d,62,4e,fdb0
36b7,5c,46,fdb0
39ef,6e,4c,fda6
3d57,5e,4e,fdb8
3f2a,60,4e,fdac
3f51,70,4e,fdb0
3903,70,3e,fdac
2836,66,4e,fdb0
b26,5e,42,fdb8
e71e,70,4e,fdb0
c532,72,4e,fda2
ab2e,58,50,fdbc
9e92,66,4e,fdb0
9b5d,72,52,fdb2
a018,5c,46,fd9e
a877,5c,50,fdb8
b24c,70,46,fdb0
bcdb,58,4e,fdb8
c761,62,4e,fdb0
d2da,70,4e,fdb0
db99,70,50,fdb2
e26c,6e,4e,fdb0
e66f,66,4e,fdb0
e7b5,6e,50,fdb0
e7ca,70,40,fdac
e951,66,58,fdb2
ed21,70,46,fdb0
f2b8,60,46,fdb2
f9b3,60,4e,fda6
d5,68,4e,fdac
906,66,4e,fdb0
10b2,70,48,fdb0
17e3,68,4c,fdac
1e64,70,56,fda6
242b,70,50,fda0
2964,58,52,fdbc
2d5a,70,46,fdae
2f8e,5e,4e,fdb8
30fc,70,48,fdb0
3263,66,4e,fdb0
32a0,58,48,fdb2
32cc,70,46,fdae
3203,50,50,fdbc
31d9,62,46,fdae
30d5,70,4e,fda6
314b,56,50,fdb8
32dc,70,46,fdb0
34d5,62,4e,fda8
3757,5c,46,fdb8
387a,70,50,fda2
33d7,70,4e,fdb0
2525,6c,4e,fdb8
ab2,4e,4e,fdb6
e9ec,60,50,fdb6
c9d9,66,52,fdb0
b1c4,60,46,fdbc
a42e,70,52,fd9e
a004,68,52,fdb2
a447,60,46,fdb8
ac50,70,3c,fdac
b5e2,68,4e,fdb0
c16f,6e,46,fdb0
cdeb,6c,4c,fdb0
d9c1,70,4e,fdb0
e322,6e,58,fdb2
e947,60,4e,fdb8
