0,0.2372
0.001,0.2297
0.002,0.2474
0.003,0.2839
0.004,0.3626
0.005,0.532
0.006,0.7988
0.007,0.2659
0.008,-0.4193
0.009,-0.3272
0.01,-0.4108
0.011,-0.3349
0.012,-0.2656
0.013,-0.2028
0.014,-0.1457
0.015,-0.0937
0.016,-0.0465
0.017,0.0823
0.018,0.1213
0.019,0.1568
0.02,0.189
0.021,0.1597
0.022,0.1863
0.023,0.2104
0.024,0.2324
0.025,0.2524
0.026,0.2705
0.027,0.287
0.028,0.272
0.029,0.2855
0.03,0.2731
0.031,0.2842
0.032,0.2945
0.033,0.3972
0.034,0.3016
0.035,0.2394
0.036,0.2282
0.037,0.2795
0.038,0.2701
0.039,0.2278
0.04,0.2201
0.041,0.2132
0.042,0.2194
0.043,0.2137
0.044,0.2293
0.045,0.3009
0.046,0.2496
0.047,0.2403
0.048,0.2319
0.049,0.2242
0.05,0.2172
0.051,0.2218
0.052,0.2156
0.053,0.2328
0.054,0.3115
0.055,0.4809
0.056,0.8447
0.057,1.3127
0.058,0.7466
0.059,-0.0908
0.06,-0.4249
0.061,-0.5262
0.062,-0.4341
0.063,-0.3504
0.064,-0.2744
0.065,-0.0668
0.066,-0.004
0.067,-0.0611
0.068,-0.1131
0.069,0.0286
0.07,0.1573
0.071,0.2743
0.072,0.0967
0.073,0.0645
0.074,0.0938
0.075,0.1203
0.076,0.1445
0.077,0.3868
0.078,0.2254
0.079,0.3721
0.08,0.2388
0.081,0.2146
0.082,0.2366
0.083,0.2167
0.084,0.2348
0.085,0.2844
0.086,0.3295
0.087,0.2612
0.088,0.2238
0.089,0.2126
0.09,0.2229
0.091,0.2322
0.092,0.2406
0.093,0.2637
0.094,0.2568
0.095,0.263
0.096,0.2687
0.097,0.2635
0.098,0.2588
0.099,0.263
0.1,0.2747
0.101,0.2569
0.102,0.2643
0.103,0.2547
0.104,0.2577
0.105,0.298
0.106,0.3846
0.107,0.5713
0.108,0.8114
0.109,0.3273
0.11,-0.2957
0.111,-0.3794
0.112,-0.3034
0.113,-0.3726
0.114,-0.3098
0.115,-0.2526
0.116,-0.2006
0.117,-0.1534
0.118,-0.0247
0.119,0.0143
0.12,0.0498
0.121,0.2112
0.122,0.2405
0.123,0.1606
0.124,0.1365
0.125,0.2465
0.126,0.2665
0.127,0.2483
0.128,0.2648
0.129,0.2798
0.13,0.3207
0.131,0.3082
0.132,0.3646
0.133,0.4776
0.134,0.4023
0.135,0.334
0.136,0.222
0.137,0.1769
0.138,0.1634
0.139,0.1509
0.14,0.1398
0.141,0.15
0.142,0.178
0.143,0.1696
0.144,0.1927
0.145,0.1996
0.146,0.2059
0.147,0.2231
0.148,0.2386
0.149,0.2529
0.15,0.2571
0.151,0.2454
0.152,0.2348
0.153,0.2313
0.154,0.2344
0.155,0.2373
0.156,0.2295
0.157,0.2366
0.158,0.23
0.159,0.232
0.16,0.2595
0.161,0.3186
0.162,0.3271
0.163,0.2115
0.164,0.4269
0.165,0.8083
0.166,0.8603
0.167,1.0967
0.168,0.7099
0.169,-0.0701
0.17,-0.4043
0.171,-0.5055
0.172,-0.5976
0.173,-0.5139
0.174,-0.4379
0.175,-0.2303
0.176,-0.1675
0.177,-0.1104
0.178,-0.0584
0.179,-0.0111
0.18,0.0317
0.181,0.0707
0.182,0.1773
0.183,0.2095
0.184,0.2388
0.185,0.2654
0.186,0.2895
0.187,0.3115
0.188,0.2915
0.189,0.3461
0.19,0.3296
0.191,0.3146
0.192,0.3011
0.193,0.2886
0.194,0.2998
0.195,0.2895
0.196,0.2802
0.197,0.2886
0.198,0.2963
0.199,0.3033
0.2,0.297
0.201,0.2914
0.202,0.2758
0.203,0.2806
0.204,0.2796
0.205,0.2754
0.206,0.2872
0.207,0.3408
0.208,0.4563
0.209,0.7048
0.21,0.3851
0.211,-0.1735
0.212,-0.2495
0.213,-0.3187
0.214,-0.2559
0.215,-0.1988
0.216,-0.1468
0.217,-0.0996
0.218,-0.0567
0.219,-0.0177
0.22,0.0178
0.221,0.1145
0.222,0.1438
0.223,0.1703
0.224,0.1945
0.225,0.2165
0.226,0.2364
0.227,0.2546
0.228,0.2381
0.229,0.2531
0.23,0.2666
0.231,0.2791
0.232,0.2679
0.233,0.2782
0.234,0.2688
0.235,0.2604
0.236,0.2527
0.237,0.2597
0.238,0.2535
0.239,0.2478
0.24,0.2529
0.241,0.2672
0.242,0.263
0.243,0.2591
0.244,0.2626
0.245,0.2851
0.246,0.3296
0.247,0.2469
0.248,0.2132
0.249,0.2029
0.25,0.1936
0.251,0.202
0.252,0.1789
0.253,0.1998
0.254,0.1936
0.255,0.2049
0.256,0.2106
0.257,0.2262
0.258,0.2978
0.259,0.4518
0.26,0.7821
0.261,1.113
0.262,0.4684
0.263,-0.1765
