-0.019257,0.60801,-2.942,8.6299,7.6627,3.1276,6.2553
0.00027466,0.54917,-3.0597,8.5514,6.8026,2.7367,5.9425
-0.0010071,0.66685,-2.9028,8.5906,5.7079,2.2675,1.2511
-0.0079956,0.35304,-2.9812,8.7083,5.1606,2.1893,2.6585
-0.0019836,0.66685,-2.8243,9.0221,5.6297,1.5638,3.5968
-0.0053711,0.45111,-2.9028,8.5514,7.0372,1.2511,4.3005
-0.0027161,0.27459,-2.8832,8.7083,8.5228,1.4856,4.7696
0.002594,0.50995,-2.9028,8.7083,8.21,1.3292,5.4734
0.016296,0.70608,-2.8832,8.7083,5.9428,0.15638,0.8604
0.020477,0.72569,-3.0597,8.6887,8.6792,1.7202,-7.5063
0.026062,0.56879,-2.9028,8.6299,7.8973,3.5968,6.0207
0.031525,0.70608,-3.0793,8.7083,6.7244,9.8517,3.3622
0.032745,0.56879,-2.9028,8.5514,-7.8191,-6.4123,-1.7987
0.028503,0.27459,-2.8832,8.7083,-9.6181,-3.988,5.3946
0.027527,0.49033,-2.9028,8.5514,-3.7541,-2.9712,1.4844
0.022217,0.66685,-3.0008,8.6299,-6.8026,-4.6914,-7.5069
0.027374,0.5884,-2.9812,8.6495,-3.6753,2.9712,-0.93859
0.021179,0.56879,-2.9028,8.5514,-2.8934,1.7202,-0.70402
0.0072021,0.66685,-2.9028,8.6299,-2.9716,2.2675,-0.62583
0.00033569,0.70608,-2.9028,8.7279,-2.6588,2.8931,-0.78221
-0.0069885,0.60801,-2.942,8.5514,-2.2678,3.284,-1.1732
-0.0045776,0.56879,-3.0008,8.5514,-2.737,3.284,-1.0168
0.0074463,0.66685,-2.8439,8.6299,-3.2061,3.5968,-1.095
0.011169,0.66685,-2.9028,8.6299,-2.0333,3.5186,-1.2514
0.023193,0.56879,-2.9028,8.5318,-1.2514,3.3622,0.23457
0.028748,0.56879,-2.9028,8.6299,-1.3295,3.5968,0.54734
0.037109,0.49033,-2.942,8.7083,1.0947,3.5968,-0.39126
0.047333,0.60801,-2.7851,8.5514,4.0659,3.4404,-0.31307
0.059601,0.70608,-2.8243,8.8652,6.1771,3.3622,-0.46945
0.053009,-0.50995,-2.9028,8.1787,7.5845,3.3622,-0.46945
-0.16827,1.9809,-2.687,8.7279,7.8191,3.284,-0.23488
-0.33713,0.56879,-3.3146,8.5318,7.9755,3.1276,0.15638
-0.35452,0.56879,-3.4519,8.5514,-9.1483,6.3335,-3.2843
-0.30319,0.60801,-2.5105,9.179,-8.601,6.568,-3.1279
-0.19107,0.70608,-1.8437,8.9437,-9.0701,5.4734,9.7735
-0.018677,0.039227,-3.1577,8.6887,-7.6627,4.8478,8.1315
0.075958,0.98067,-3.3539,8.4729,-7.4281,5.2388,7.8188
0.096436,0.66685,-2.8439,8.6299,9.9302,5.2388,9.539
0.098907,0.5884,-2.942,8.7083,6.2553,4.5351,-7.7412
0.098572,0.56879,-2.5105,8.8064,2.033,4.3787,-5.2391
0.096954,0.27459,-2.8439,8.7279,4.3005,6.0207,-6.7247
0.10315,0.50995,-3.1381,8.4926,-6.8029,6.8808,-7.5066
0.10223,0.66685,-3.0597,8.5906,9.148,9.2265,-1.7205
0.096222,0.5884,-2.9028,8.5514,1.4856,8.21,-1.7205
0.084595,0.64724,-2.7851,8.7083,-4.5354,6.3335,-7.663
0.072968,0.56879,-2.687,8.6887,1.4071,3.9877,8.6789
0.065155,0.49033,-3.1577,8.6887,-1.4862,1.5638,-5.2391
0.049042,0.41188,-2.5693,8.8652,2.58,0.78191,-3.5971
0.057617,0.35304,-2.7655,8.7475,-8.7577,2.5803,-8.6795
0.052704,0.54917,-2.9812,8.5514,4.3005,5.5515,8.7571
0.028046,0.64724,-3.2362,8.5514,-6.4116,6.3335,-6.021
-0.029358,0.54917,-2.9812,8.4926,-3.9095,6.568,-5.2391
-0.075989,0.47072,-2.687,8.7083,-5.1606,7.1935,-4.379
