-0.32666,0.90221,1.1768,-7.2765
-0.33322,0.80415,1.1572,-7.2569
-0.34225,0.90221,1.1376,-7.2765
-0.34445,0.74531,1.1572,-7.2177
-0.34708,0.90221,1.0787,-7.2765
-0.34741,0.72569,1.1572,-7.1981
-0.3461,0.90221,1.1572,-7.1981
-0.3472,0.90221,1.1572,-7.2765
-0.34781,0.8826,0.98067,-7.3158
-0.35355,0.76492,1.0787,-7.4334
-0.35947,0.74531,1.1572,-7.2177
-0.33499,0.80415,1.1572,-7.2569
-0.23727,0.76492,1.1572,-7.355
-0.055389,0.74531,1.1964,-7.1392
0.18594,0.74531,1.1964,-7.1981
0.42081,0.72569,1.1376,-7.2765
0.60165,0.74531,1.1572,-7.2765
0.71365,0.66685,1.2553,-7.1589
0.77209,0.76492,1.1768,-7.2177
0.77869,0.90221,1.1964,-7.2765
0.76343,0.74531,1.0395,-7.4138
0.72656,0.76492,1.1768,-7.2177
0.702,0.92183,1.0395,-7.355
0.65881,0.72569,1.1572,-7.355
0.60028,0.80415,1.1572,-7.2765
0.54227,0.70608,1.0787,-7.2961
0.4986,0.90221,1.2356,-7.4138
0.47409,0.92183,1.1572,-7.4138
0.46735,0.72569,1.1768,-7.2177
0.46436,0.60801,1.1572,-7.1589
0.45499,0.70608,1.1572,-7.355
0.43427,0.82376,1.1376,-7.2765
0.39734,0.80415,1.1572,-7.3158
0.34085,0.80415,1.0787,-7.355
0.26855,0.90221,1.0003,-7.2961
0.1839,0.80415,1.1964,-7.2765
0.10052,0.70608,1.1572,-7.2765
0.010986,0.80415,1.1572,-7.2765
-0.08136,0.90221,1.1376,-7.355
-0.15903,0.80415,1.2945,-7.1981
-0.23236,0.74531,1.0395,-7.1981
-0.30057,1.118,1.3925,-7.3746
-0.36417,0.66685,1.1572,-7.2765
-0.41327,0.66685,1.0395,-7.355
-0.45157,0.8826,1.0787,-7.2765
-0.47623,0.90221,1.0395,-7.2961
-0.49109,0.74531,1.0787,-7.1589
-0.48953,0.90221,1.1572,-7.2569
-0.46808,0.92183,1.1572,-7.2765
-0.43842,0.90221,1.1768,-7.2765
-0.40338,0.80415,1.1964,-7.1589
-0.38052,0.74531,1.1572,-7.2765
-0.37103,0.80415,1.0983,-7.3746
-0.37006,0.74531,1.1572,-7.2765
-0.384,0.76492,1.1376,-7.2765
-0.40369,0.8826,1.1964,-7.2765
-0.42764,0.74531,1.1572,-7.1589
-0.44614,0.92183,1.1572,-7.1981
-0.44885,0.90221,1.1768,-7.2569
-0.41107,0.8826,1.0003,-7.3158
-0.29214,0.80415,1.1376,-7.3746
-0.086761,0.90221,1.1768,-7.4531
0.17114,0.60801,1.1964,-7.1392
0.40585,0.74531,1.1572,-7.3158
0.56949,0.8826,1.1572,-7.2765
0.65546,0.74531,1.1376,-7.2569
0.67825,0.82376,1.1572,-7.3746
0.64529,0.72569,1.0787,-7.1589
0.5896,0.90221,1.1572,-7.3746
0.51581,0.92183,1.1572,-7.4138
0.43939,0.92183,1.1572,-7.2569
0.36075,0.90221,1.1572,-7.4531
0.28964,0.72569,1.1768,-7.2177
0.22592,0.90221,1.0787,-7.2961
0.18448,0.80415,1.1768,-7.2765
0.16202,0.82376,1.1572,-7.2765
0.1521,0.86299,1.1376,-7.3354
0.14661,0.90221,1.1768,-7.2765
0.1347,0.90221,1.2356,-7.4138
0.11349,0.74531,1.1572,-7.2569
0.075714,0.90221,1.0787,-7.2961
0.024048,0.72569,1.1572,-7.355
-0.040039,0.90221,1.1572,-7.2765
-0.11063,0.8826,1.1572,-7.2765
-0.18176,0.74531,1.1572,-7.4138
-0.24567,0.54917,1.1376,-7.2765
-0.311,0.74531,1.1376,-7.4138
-0.36551,0.80415,1.0787,-7.3746
-0.40741,0.90221,1.2553,-7.4138
-0.44446,0.76492,1.1572,-7.2765
-0.48431,0.70608,1.1376,-7.3158
-0.51117,0.90221,1.1376,-7.2765
-0.53336,0.90221,1.1376,-7.1981
-0.54776,0.8826,1.1572,-7.3746
-0.55392,0.8826,1.1964,-7.2765
-0.56018,0.74531,1.1376,-7.1981
-0.56894,0.76492,1.1572,-7.3158
-0.56973,0.76492,1.1572,-7.2765
-0.57996,0.90221,1.2356,-7.4334
-0.58661,0.74531,1.1572,-7.2177
-0.59665,0.90221,1.1768,-7.2765
-0.60687,0.74531,1.1572,-7.2765
-0.6167,0.90221,1.1964,-7.4138
-0.63309,0.90221,1.1572,-7.2569
-0.63577,0.80415,1.2356,-7.2765
-0.60138,0.90221,1.1572,-7.2765
-0.49268,0.90221,1.1964,-7.2765
-0.29199,0.64724,1.1768,-7.1589
-0.022949,0.80415,1.1768,-7.2177
0.24686,0.90221,1.1964,-7.3158
0.47073,0.66685,1.1768,-7.1196
0.62012,0.90221,1.1572,-7.2765
0.68292,0.90221,1.1572,-7.2569
0.67853,0.92183,1.1572,-7.2765
0.62979,0.74531,1.1572,-7.1981
0.55856,0.80415,1.1572,-7.3158
0.49268,0.86299,1.1572,-7.2765
0.42288,0.8826,1.0003,-7.3158
0.34302,0.80415,1.1376,-7.3746
0.27399,0.76492,1.1572,-7.1981
0.21902,0.90221,1.1376,-7.2765
0.18903,0.90221,1.0787,-7.2961
0.17987,0.90221,1.1572,-7.2765
0.17429,0.90221,1.0787,-7.3158
0.18378,0.86299,1.1572,-7.2569
0.17914,0.90221,1.1768,-7.2765
0.16302,0.90221,1.0003,-7.3746
0.13724,0.74531,1.1376,-7.4334
0.09964,0.90221,1.1964,-7.4138
0.054291,0.74531,1.0787,-7.4531
0.0064087,0.96105,1.1964,-7.4138
-0.042114,0.80415,1.1572,-7.2765
-0.096313,0.86299,1.1964,-7.2569
-0.14365,0.74531,1.1572,-7.4531
-0.1864,0.90221,1.0003,-7.3158
-0.21994,0.76492,1.1768,-7.1981
-0.24249,0.90221,1.0787,-7.2765
-0.25967,0.56879,1.2356,-7.1981
-0.27258,0.76492,1.0983,-7.3746
-0.29697,0.74531,1.1572,-7.4138
-0.32278,0.92183,1.1964,-7.4334
-0.35367,0.66685,1.1572,-7.1981
-0.3811,0.90221,1.1572,-7.2765
-0.39499,0.90221,1.1768,-7.2177
-0.40012,0.74531,1.0983,-7.4334
-0.40393,0.96105,1.1572,-7.2765
-0.40417,0.70608,1.1572,-7.1196
-0.405,0.74531,1.0787,-7.1981
-0.3999,0.90221,1.1768,-7.3746
-0.40158,0.90221,1.1768,-7.4531
-0.40067,0.66685,1.1572,-7.1589
-0.384,0.82376,1.2553,-7.2765
